model,layer,relative_depth,depth_category,latent_accuracy,behavioral_accuracy,latent_behavioral_agreement,latent_predicted_harmful_rate,n_samples
Gemma 2 9B IT,19,0.43902439024390244,Middle,0.6867469879518072,0.8835341365461847,0.6104417670682731,0.6265060240963856,249
Gemma 2 9B IT,20,0.4634146341463415,Middle,0.9799196787148594,0.8835341365461847,0.8795180722891566,0.5261044176706827,249
Gemma 2 9B IT,21,0.4878048780487805,Middle,0.963855421686747,0.8835341365461847,0.8634538152610441,0.5100401606425703,249
Gemma 2 9B IT,22,0.5121951219512195,Middle,0.9759036144578314,0.8835341365461847,0.8755020080321285,0.5220883534136547,249
Gemma 2 9B IT,23,0.5365853658536586,Middle,0.9759036144578314,0.8835341365461847,0.8755020080321285,0.5220883534136547,249
Gemma 2 9B IT,24,0.5609756097560976,Middle,0.9799196787148594,0.8835341365461847,0.8795180722891566,0.5261044176706827,249
Gemma 2 9B IT,25,0.5853658536585366,Middle,0.9759036144578314,0.8835341365461847,0.8755020080321285,0.5301204819277109,249
Gemma 2 9B IT,26,0.6097560975609756,Late,0.9718875502008032,0.8835341365461847,0.8714859437751004,0.5261044176706827,249
Gemma 2 9B IT,27,0.6341463414634146,Late,0.9678714859437751,0.8835341365461847,0.8674698795180723,0.5220883534136547,249
Gemma 2 9B IT,28,0.6585365853658537,Late,0.963855421686747,0.8835341365461847,0.8634538152610441,0.5180722891566265,249
Gemma 2 9B IT,29,0.6829268292682927,Late,0.963855421686747,0.8835341365461847,0.8634538152610441,0.5180722891566265,249
Gemma 2 9B IT,30,0.7073170731707317,Late,0.9718875502008032,0.8835341365461847,0.8714859437751004,0.5180722891566265,249
Gemma 2 9B IT,31,0.7317073170731707,Late,0.9718875502008032,0.8835341365461847,0.8714859437751004,0.5180722891566265,249
Gemma 2 9B IT,32,0.7560975609756098,Late,0.9678714859437751,0.8835341365461847,0.8674698795180723,0.5140562248995983,249
Gemma 2 9B IT,33,0.7804878048780488,Late,0.963855421686747,0.8835341365461847,0.8634538152610441,0.5100401606425703,249
Gemma 2 9B IT,34,0.8048780487804879,Very late,0.9678714859437751,0.8835341365461847,0.8674698795180723,0.5140562248995983,249
